character,degree_centrality,strength,eigenvector
CAPTAIN AMERICA,0.29802764404410625,16057,0.2733607532427026
SPIDER-MAN/PETER PARKER,0.27240254697934463,13730,0.1301451945264859
IRON MAN/TONY STARK,0.24320546668737383,11997,0.2252581984699912
THOR/DR. DONALD BLAK,0.20422425842522132,11558,0.1995301893409882
THING/BENJAMIN J. GR,0.2248796396956049,10772,0.23130759824718966
WOLVERINE/LOGAN,0.21462960086970026,10480,0.13835093661015127
HUMAN TORCH/JOHNNY S,0.21928870942692966,10377,0.22782878395900322
SCARLET WITCH/WANDA,0.21152352849821401,10168,0.2157185790782527
MR. FANTASTIC/REED R,0.2199099239012269,9886,0.22281401083743987
VISION,0.19304239788787078,9786,0.21061589809925743
BEAST/HENRY &HANK& P,0.20733033079670757,9583,0.16263350686465933
INVISIBLE WOMAN/SUE,0.19770150644510018,9415,0.21445373626091124
CYCLOPS/SCOTT SUMMER,0.17595899984469637,9311,0.1410587558670019
STORM/ORORO MUNROE S,0.16974685510172388,8966,0.12977557520492342
HAWK,0.18356887715483772,8584,0.17765797633762917
WASP/JANET VAN DYNE,0.17207640938033855,8528,0.19683012011516993
PROFESSOR X/CHARLES,0.1689703370088523,8117,0.12217917834740007
COLOSSUS II/PETER RA,0.1626028886473055,8014,0.11291609917248425
HULK/DR. ROBERT BRUC,0.16726199720453486,7611,0.10224135909435764
ANT-MAN/DR. HENRY J.,0.17331883832893308,7471,0.17152523485443083
ANGEL/WARREN KENNETH,0.17595899984469637,7225,0.10973199380136402
MARVEL GIRL/JEAN GRE,0.1649324429259202,7188,0.1099972058371065
ICEMAN/ROBERT BOBBY,0.15716726199720454,6861,0.10759417260636256
WONDER MAN/SIMON WIL,0.16229228141015686,6728,0.14371226399897993
NIGHTCRAWLER/KURT WA,0.13620127348967231,6318,0.08272888598601588
SHE-HULK/JENNIFER WA,0.16943624786457526,6274,0.11616637083703352
ROGUE /,0.13092095045814567,6106,0.08831936468075746
HERCULES [GREEK GOD],0.15514831495573847,5778,0.09843798994557608
QUICKSILVER/PIETRO M,0.14396645441838796,5768,0.11130463929966664
SUB-MARINER/NAMOR MA,0.15608013666718434,5764,0.08600586008113507
DR. STRANGE/STEPHEN,0.1689703370088523,5687,0.06764338170396096
"JAMESON, J. JONAH",0.14567479422270538,5563,0.05155476920060844
"WATSON-PARKER, MARY",0.12688305637521355,5343,0.040145545908861505
"JARVIS, EDWIN",0.1567013511414816,5167,0.1115074179134009
DAREDEVIL/MATT MURDO,0.15483770771858985,5072,0.06051686504394958
BLACK WIDOW/NATASHA,0.1447429725112595,4931,0.08610248249071994
SHADOWCAT/KATHERINE,0.11337164155924834,4668,0.05714830881178089
CANNONBALL II/SAM GU,0.10529585339338407,4611,0.04215483398401245
HAVOK/ALEX SUMMERS,0.12175803696226123,4422,0.053046159904623254
PSYLOCKE/ELISABETH B,0.10964435471346483,4241,0.05961464876562069
